age,gender,education,experience_years,role_seniority,company_size,location_tier,skills_count,certifications,worked_remote,last_promotion_years_ago,salary_bdt,recent_project_description_length,survey_date,recent_note
28,Male,B.Sc,4.0,Mid,Startup,Remote,7.0,0.0,0,0.0,66454,74.0,2023-01-30,Built ML pipeline for preprocessing
26,Male,,6.0,Mid,Startup,Tier-1,4.0,1.0,1,,250336,60.0,2023-09-13,None
41,Male,M.Sc,19.0,Junior,SME,Tier-2,1.0,2.0,0,5.0,175155,57.0,2024-11-01,No relevant project mentioned
30,Male,B.Sc+Cert,,Lead,SME,Tier-1,4.0,0.0,1,3.0,143629,51.0,2024-01-31,Contributed to open-source NLP repo
24,Female,B.Sc,2.0,Mid,SME,Remote,4.0,2.0,0,3.0,67896,72.0,2024-06-04,Built ML pipeline for preprocessing
35,Male,M.Sc,,Mid,SME,Tier-2,,1.0,1,0.0,125584,,2023-11-19,Experience in data cleaning and ETL
23,Male,M.Sc,0.0,Mid,SME,Tier-1,4.0,0.0,0,6.0,58900,64.0,2024-01-05,None
31,Male,M.Sc,10.0,Mid,Startup,Tier-1,1.0,1.0,0,4.0,126449,69.0,2023-06-05,No relevant project mentioned
20,Male,B.Sc+Cert,0.0,Senior,Startup,Tier-2,3.0,1.0,0,3.0,48515,63.0,2023-08-02,Built ML pipeline for preprocessing
22,Male,B.Sc,0.0,Mid,SME,Tier-1,12.0,1.0,1,5.0,67152,47.0,2024-10-27,Built ML pipeline for preprocessing
31,Male,B.Sc,,Junior,SME,Tier-1,,0.0,0,2.0,146464,67.0,2023-03-24,No relevant project mentioned
34,Male,M.Sc,11.0,Junior,Startup,Tier-2,3.0,1.0,0,1.0,130072,62.0,2024-02-09,Contributed to open-source NLP repo
31,Female,M.Sc,9.0,Senior,Startup,Tier-2,5.0,1.0,1,2.0,138837,62.0,2024-09-04,Contributed to open-source NLP repo
29,Female,M.Sc,9.0,Mid,SME,Tier-3,4.0,0.0,0,4.0,116410,47.0,2023-01-10,Experience in data cleaning and ETL
28,Female,B.Sc,4.0,Lead,Startup,Tier-1,6.0,1.0,1,3.0,106823,66.0,2023-10-07,Worked on microservices deployment
21,Male,B.Sc,0.0,Junior,SME,Tier-2,5.0,1.0,1,2.0,36290,,2023-10-08,Worked on microservices deployment
26,Male,B.Sc,6.0,Junior,SME,Tier-2,3.0,3.0,0,0.0,87350,54.0,2024-11-22,Contributed to open-source NLP repo
27,Male,B.Sc,7.0,Junior,Startup,Tier-1,8.0,1.0,1,4.0,96735,,2023-03-31,Contributed to open-source NLP repo
36,Female,M.Sc,13.0,Mid,Startup,Tier-2,5.0,0.0,0,2.0,155381,57.0,2023-05-09,Built ML pipeline for preprocessing
32,Male,M.Sc,11.0,Mid,Enterprise,Tier-1,7.0,,0,0.0,179168,66.0,2023-11-05,Experience in data cleaning and ETL
20,Male,B.Sc,0.0,Junior,Enterprise,Tier-3,3.0,0.0,0,,31751,75.0,2024-04-29,Contributed to open-source NLP repo
32,Male,B.Sc,6.0,Mid,SME,Tier-2,10.0,0.0,1,7.0,92475,64.0,2023-04-17,Contributed to open-source NLP repo
28,Male,B.Sc,0.0,Mid,SME,Tier-2,9.0,0.0,0,1.0,44801,,2024-05-19,Built ML pipeline for preprocessing
26,Male,B.Sc,1.0,Junior,Enterprise,Tier-1,7.0,0.0,0,0.0,63464,67.0,2023-10-10,Built ML pipeline for preprocessing
34,Male,M.Sc,12.0,Mid,Enterprise,Tier-1,4.0,,1,0.0,150913,48.0,2023-04-17,Experience in data cleaning and ETL
36,Female,,14.0,Mid,SME,Tier-2,,0.0,0,0.0,154466,64.0,2023-06-04,Contributed to open-source NLP repo
36,Male,B.Sc,13.0,Junior,Startup,Tier-2,,0.0,1,0.0,143176,63.0,2023-08-20,No relevant project mentioned
25,Male,M.Sc,2.0,Junior,SME,Tier-1,6.0,2.0,0,5.0,73344,41.0,2024-03-24,Built ML pipeline for preprocessing
28,Male,B.Sc+Cert,6.0,Junior,SME,Tier-1,7.0,1.0,0,0.0,111147,,2024-01-15,Worked on microservices deployment
32,Male,M.Eng,10.0,Mid,SME,Tier-1,6.0,1.0,1,5.0,131675,,2023-11-29,Built ML pipeline for preprocessing
36,Male,B.Sc,11.0,Senior,SME,Tier-2,8.0,1.0,0,0.0,392397,66.0,2024-08-18,Built ML pipeline for preprocessing
27,Female,B.Sc+Cert,6.0,Mid,Enterprise,Tier-1,3.0,0.0,1,5.0,116332,59.0,2023-03-17,None
29,Male,B.Sc,5.0,Junior,SME,Tier-2,4.0,0.0,1,1.0,79732,70.0,2023-09-18,Worked on microservices deployment
23,Female,B.Sc,0.0,Senior,Startup,Tier-1,3.0,1.0,0,2.0,53444,66.0,2023-12-03,Built ML pipeline for preprocessing
23,Male,,3.0,Lead,Startup,Tier-2,7.0,0.0,0,0.0,89320,52.0,2023-08-18,Worked on microservices deployment
35,Male,B.Sc,9.0,Mid,SME,Tier-1,6.0,0.0,0,1.0,117205,67.0,2023-08-09,Contributed to open-source NLP repo
38,Female,B.Sc,16.0,Lead,Startup,Tier-2,7.0,1.0,1,0.0,185657,,2024-11-23,Experience in data cleaning and ETL
30,Male,B.Sc,11.0,Mid,SME,Tier-1,,1.0,0,2.0,148203,68.0,2024-02-02,Built ML pipeline for preprocessing
36,Male,,14.0,Mid,SME,Tier-1,4.0,1.0,0,1.0,157882,72.0,2024-12-14,Worked on microservices deployment
32,Male,M.Eng,7.0,Mid,SME,Tier-2,,1.0,1,5.0,121826,59.0,2024-02-16,Contributed to open-source NLP repo
26,Male,B.Sc+Cert,1.0,Mid,Enterprise,Tier-1,5.0,3.0,0,0.0,84510,75.0,2024-09-21,Contributed to open-source NLP repo
32,Female,B.Sc,6.0,Junior,SME,Tier-1,3.0,2.0,0,1.0,86229,47.0,2024-09-20,Contributed to open-source NLP repo
39,Male,B.Sc+Cert,20.0,Senior,Startup,Tier-3,4.0,0.0,1,0.0,206288,49.0,2024-02-05,Built ML pipeline for preprocessing
30,Female,B.Sc+Cert,9.0,Senior,Startup,Remote,6.0,,0,2.0,123057,50.0,2024-12-09,Experience in data cleaning and ETL
39,Female,M.Sc,16.0,Mid,SME,Tier-1,10.0,0.0,0,0.0,182737,,2024-12-06,Experience in data cleaning and ETL
20,Male,B.Sc,,Junior,Startup,Tier-3,5.0,3.0,0,0.0,29061,79.0,2024-05-12,None
35,Female,M.Sc,10.0,Junior,SME,Tier-2,2.0,0.0,1,3.0,118001,60.0,2024-09-07,Contributed to open-source NLP repo
31,Male,B.Sc+Cert,6.0,Junior,Startup,Tier-1,7.0,1.0,0,0.0,89997,53.0,2023-06-23,Worked on microservices deployment
28,Female,M.Sc,5.0,Junior,SME,Remote,3.0,,0,3.0,85847,59.0,2023-10-28,Built ML pipeline for preprocessing
31,Male,B.Sc,11.0,Mid,Enterprise,Tier-3,3.0,0.0,0,0.0,108911,,2023-04-13,Built ML pipeline for preprocessing
20,Male,B.Sc,1.0,Senior,Startup,Remote,6.0,1.0,1,2.0,67670,69.0,2024-06-04,Worked on microservices deployment
29,Male,M.Sc,7.0,Junior,SME,Tier-1,6.0,0.0,0,7.0,92325,58.0,2023-06-13,No relevant project mentioned
32,Male,B.Sc,,Junior,SME,Tier-1,6.0,7.0,0,,128716,53.0,2023-01-05,Experience in data cleaning and ETL
39,Male,B.Sc,15.0,Mid,Enterprise,Tier-2,3.0,0.0,0,1.0,156630,,2024-08-23,Experience in data cleaning and ETL
27,Female,B.Sc,4.0,Junior,SME,Tier-2,7.0,0.0,0,5.0,67580,47.0,2023-06-27,No relevant project mentioned
25,Male,M.Eng,2.0,Senior,SME,Tier-1,,1.0,1,2.0,109316,61.0,2023-01-27,No relevant project mentioned
27,Male,B.Sc+Cert,5.0,Junior,Enterprise,Remote,9.0,1.0,1,2.0,99750,49.0,2024-11-17,Contributed to open-source NLP repo
35,Female,B.Sc,14.0,Junior,SME,Tier-2,6.0,0.0,0,2.0,151662,58.0,2023-06-10,None
32,Male,B.Sc+Cert,8.0,Junior,SME,Tier-2,3.0,0.0,0,1.0,104664,54.0,2023-04-25,None
27,Female,B.Sc,7.0,Junior,Startup,Tier-2,3.0,1.0,0,,88771,77.0,2024-01-13,Worked on microservices deployment
33,Female,M.Sc,10.0,Mid,Enterprise,Tier-2,4.0,0.0,0,3.0,141035,57.0,2023-04-07,Contributed to open-source NLP repo
31,Female,M.Sc,4.0,Junior,Enterprise,Tier-1,8.0,1.0,1,2.0,108836,63.0,2024-11-08,None
36,Female,M.Eng,,Mid,Enterprise,Remote,4.0,0.0,0,6.0,152156,55.0,2023-05-16,Contributed to open-source NLP repo
26,Male,B.Sc+Cert,0.0,Mid,Enterprise,Tier-1,5.0,1.0,0,2.0,77212,61.0,2024-01-23,None
28,Male,B.Sc,4.0,Junior,Enterprise,Tier-1,10.0,0.0,0,2.0,81911,55.0,2023-06-13,Contributed to open-source NLP repo
28,Female,B.Sc+Cert,3.0,Junior,SME,Remote,7.0,1.0,1,7.0,67754,64.0,2024-02-19,Worked on microservices deployment
21,Male,B.Sc,0.0,Mid,Enterprise,Remote,5.0,0.0,1,0.0,49356,48.0,2024-12-14,None
32,Male,M.Sc,8.0,Mid,SME,Tier-3,5.0,2.0,0,0.0,104601,57.0,2024-11-11,Built ML pipeline for preprocessing
32,Male,M.Sc,11.0,Senior,SME,Remote,3.0,2.0,0,0.0,158441,66.0,2023-05-16,None
30,Female,M.Sc,9.0,Junior,SME,Tier-2,6.0,2.0,1,7.0,117894,61.0,2023-06-07,None
29,Male,B.Sc,7.0,Junior,SME,Remote,4.0,1.0,0,3.0,105294,,2024-02-02,Experience in data cleaning and ETL
22,Male,B.Sc+Cert,2.0,Junior,Enterprise,Tier-1,,2.0,0,1.0,74323,,2024-01-01,None
27,Male,B.Sc,8.0,Mid,SME,Tier-3,1.0,3.0,1,0.0,109963,54.0,2023-10-29,Worked on microservices deployment
28,Male,B.Sc,5.0,Mid,Startup,Tier-2,8.0,0.0,0,,78201,55.0,2023-12-15,Worked on microservices deployment
25,Male,M.Sc,3.0,Senior,Startup,Tier-1,1.0,1.0,0,0.0,84084,74.0,2024-01-29,No relevant project mentioned
29,Male,B.Sc,5.0,Mid,Enterprise,Tier-2,4.0,2.0,1,5.0,111207,56.0,2023-11-20,Experience in data cleaning and ETL
32,Male,M.Eng,8.0,Junior,SME,Tier-2,7.0,0.0,0,3.0,107168,62.0,2023-02-19,Contributed to open-source NLP repo
41,Female,B.Sc,21.0,Mid,SME,Tier-2,7.0,1.0,1,6.0,226842,48.0,2023-11-20,Built ML pipeline for preprocessing
31,Male,B.Sc,,Senior,SME,Tier-1,7.0,1.0,0,1.0,128944,50.0,2024-05-28,Built ML pipeline for preprocessing
32,Female,M.Eng,7.0,Junior,SME,Tier-3,2.0,0.0,1,2.0,82079,55.0,2024-04-07,No relevant project mentioned
30,Female,B.Sc,3.0,Mid,Startup,Tier-1,7.0,1.0,0,,79272,59.0,2023-03-16,Contributed to open-source NLP repo
20,Male,B.Sc,0.0,Lead,SME,Tier-2,3.0,1.0,1,5.0,68987,45.0,2024-05-15,Worked on microservices deployment
30,Male,M.Sc,8.0,Mid,Enterprise,Remote,6.0,3.0,0,7.0,138073,64.0,2024-12-27,Contributed to open-source NLP repo
30,Male,B.Sc,6.0,Mid,SME,Tier-2,4.0,0.0,0,6.0,85805,49.0,2023-07-07,Built ML pipeline for preprocessing
45,Female,M.Sc,22.0,Junior,SME,Tier-1,,1.0,0,2.0,205524,57.0,2023-05-09,Experience in data cleaning and ETL
29,Male,B.Sc,7.0,Mid,Startup,Tier-1,2.0,3.0,1,0.0,99141,53.0,2024-05-07,None
32,Male,M.Eng,10.0,Junior,SME,Tier-2,3.0,1.0,0,2.0,125369,47.0,2023-04-07,No relevant project mentioned
30,Male,M.Eng,9.0,Mid,Startup,Remote,1.0,1.0,1,0.0,122521,49.0,2023-12-31,Built ML pipeline for preprocessing
23,Male,M.Sc,0.0,Junior,SME,Remote,8.0,2.0,0,0.0,55768,,2024-05-15,None
37,Male,B.Sc,,Senior,SME,Tier-3,,2.0,1,0.0,107524,65.0,2023-06-14,Experience in data cleaning and ETL
35,Male,M.Eng,10.0,Senior,Enterprise,Tier-1,5.0,0.0,0,1.0,184933,,2023-06-26,Built ML pipeline for preprocessing
35,Female,,10.0,Mid,SME,Tier-1,6.0,0.0,0,2.0,152967,53.0,2024-09-20,Contributed to open-source NLP repo
25,Male,M.Sc,4.0,Junior,SME,Tier-1,1.0,0.0,0,1.0,63311,,2024-12-22,Contributed to open-source NLP repo
38,Male,B.Sc,13.0,Junior,SME,Tier-1,4.0,1.0,0,,132455,74.0,2023-09-30,Experience in data cleaning and ETL
22,Male,B.Sc+Cert,0.0,Senior,SME,Tier-1,,1.0,0,0.0,58393,,2023-11-23,Worked on microservices deployment
34,Female,M.Sc,8.0,Mid,Startup,Tier-1,1.0,3.0,1,2.0,134124,62.0,2024-02-03,No relevant project mentioned
43,Male,B.Sc,17.0,Mid,SME,Tier-2,5.0,0.0,0,3.0,177337,36.0,2024-07-16,Contributed to open-source NLP repo
24,Female,B.Sc,0.0,Junior,Enterprise,Tier-1,1.0,0.0,1,0.0,46722,62.0,2024-02-15,Worked on microservices deployment
27,Male,,10.0,Mid,Startup,Tier-2,4.0,1.0,0,4.0,128993,,2023-03-05,None
31,Male,B.Sc,7.0,Mid,SME,Remote,7.0,,0,2.0,102483,56.0,2024-03-22,No relevant project mentioned
27,Male,B.Sc+Cert,5.0,Mid,Enterprise,Tier-2,4.0,3.0,1,2.0,95740,53.0,2023-12-07,Worked on microservices deployment
21,Male,M.Sc,0.0,Mid,SME,Tier-3,4.0,0.0,0,2.0,41870,56.0,2023-08-17,No relevant project mentioned
30,Male,M.Sc,10.0,Senior,Enterprise,Tier-3,4.0,1.0,1,2.0,154614,57.0,2024-05-19,Worked on microservices deployment
24,Male,B.Sc,3.0,Junior,SME,Tier-1,1.0,2.0,0,0.0,57119,57.0,2024-09-20,Contributed to open-source NLP repo
33,Female,B.Sc,,Junior,SME,Tier-1,6.0,1.0,0,3.0,138188,60.0,2023-09-07,None
24,Male,B.Sc+Cert,1.0,Mid,SME,Tier-1,,3.0,0,,55705,60.0,2023-03-11,No relevant project mentioned
39,Male,B.Sc,18.0,Junior,Enterprise,Tier-1,4.0,1.0,0,0.0,197835,81.0,2024-05-26,Worked on microservices deployment
25,Male,,5.0,Senior,Enterprise,Tier-2,5.0,3.0,0,3.0,141658,57.0,2023-12-11,Contributed to open-source NLP repo
28,Male,B.Sc,4.0,Mid,Startup,Remote,8.0,0.0,0,3.0,74818,49.0,2024-06-30,None
35,Male,B.Sc,11.0,Senior,SME,Remote,3.0,0.0,0,0.0,119158,63.0,2023-09-30,No relevant project mentioned
23,Male,B.Sc,0.0,Mid,Startup,Tier-1,4.0,0.0,0,4.0,46100,,2024-07-09,Worked on microservices deployment
31,Male,B.Sc,8.0,Junior,Startup,Remote,2.0,1.0,1,1.0,92689,51.0,2023-12-11,None
38,Male,PhD,14.0,Junior,SME,Tier-1,3.0,1.0,0,0.0,182065,50.0,2024-04-04,Experience in data cleaning and ETL
20,Male,B.Sc,0.0,Senior,SME,Tier-3,2.0,1.0,1,3.0,45599,50.0,2023-04-17,Built ML pipeline for preprocessing
31,Male,B.Sc,,Junior,Startup,Tier-1,6.0,1.0,0,2.0,101069,75.0,2024-05-02,No relevant project mentioned
32,Male,B.Sc,9.0,Mid,Startup,Tier-1,5.0,,1,0.0,99733,65.0,2023-02-13,Built ML pipeline for preprocessing
35,Male,B.Sc,8.0,Senior,SME,Tier-1,2.0,0.0,0,5.0,127541,57.0,2024-05-16,No relevant project mentioned
23,Female,B.Sc,0.0,Junior,Enterprise,Remote,1.0,1.0,0,5.0,43103,63.0,2024-02-29,No relevant project mentioned
22,Male,B.Sc+Cert,1.0,Junior,Enterprise,Tier-1,4.0,3.0,0,4.0,56675,68.0,2023-02-18,None
33,Male,B.Sc,10.0,Mid,Startup,Tier-1,4.0,0.0,0,1.0,137437,79.0,2023-03-01,Worked on microservices deployment
32,Male,B.Sc,9.0,Senior,Enterprise,Remote,8.0,1.0,1,4.0,145705,,2023-09-15,Experience in data cleaning and ETL
32,Female,B.Sc,10.0,Junior,SME,Remote,4.0,0.0,0,4.0,131482,58.0,2024-07-30,No relevant project mentioned
32,Female,PhD,10.0,Senior,Enterprise,Tier-1,,0.0,1,7.0,211557,54.0,2023-04-24,No relevant project mentioned
26,Male,B.Sc,,Mid,SME,Tier-3,6.0,1.0,1,6.0,48371,48.0,2023-12-15,Built ML pipeline for preprocessing
31,Female,B.Sc,11.0,Lead,SME,Tier-1,4.0,2.0,0,1.0,172151,57.0,2024-02-02,Contributed to open-source NLP repo
32,Male,M.Sc,10.0,Junior,Enterprise,Tier-1,,0.0,0,0.0,154266,65.0,2024-11-04,Contributed to open-source NLP repo
26,Male,M.Sc,1.0,Junior,Startup,Tier-2,5.0,0.0,1,1.0,51174,50.0,2024-04-14,None
41,Female,B.Sc,19.0,Senior,Enterprise,Tier-2,5.0,1.0,0,2.0,199298,76.0,2024-11-06,Experience in data cleaning and ETL
33,Female,B.Sc,8.0,Senior,Enterprise,Tier-2,5.0,2.0,1,,126726,64.0,2023-01-15,Worked on microservices deployment
23,Male,M.Sc,0.0,Mid,Enterprise,Tier-2,4.0,0.0,1,3.0,72002,58.0,2024-07-02,No relevant project mentioned
34,Male,B.Sc,9.0,Mid,SME,Tier-2,,1.0,1,4.0,110156,69.0,2023-05-18,Contributed to open-source NLP repo
24,Male,M.Eng,3.0,Senior,Startup,Tier-3,2.0,0.0,1,1.0,70835,56.0,2023-09-22,No relevant project mentioned
35,Male,M.Sc,12.0,Junior,SME,Tier-3,5.0,0.0,1,0.0,125763,62.0,2024-07-11,Built ML pipeline for preprocessing
37,Female,B.Sc,15.0,Mid,Enterprise,Tier-2,4.0,2.0,1,0.0,185031,46.0,2024-09-09,Built ML pipeline for preprocessing
25,Male,B.Sc,0.0,Senior,SME,Tier-1,9.0,1.0,0,2.0,56139,64.0,2023-03-22,Contributed to open-source NLP repo
36,Male,B.Sc,,Mid,SME,Tier-2,2.0,1.0,0,4.0,142638,59.0,2023-10-30,Worked on microservices deployment
32,Male,M.Sc,,Junior,SME,Tier-3,7.0,1.0,1,5.0,106529,62.0,2023-10-01,Experience in data cleaning and ETL
35,Male,B.Sc,,Senior,SME,Tier-2,,1.0,1,2.0,167026,61.0,2023-04-23,Experience in data cleaning and ETL
41,Male,B.Sc,17.0,Junior,Startup,Tier-2,4.0,1.0,0,6.0,153838,69.0,2024-02-13,Built ML pipeline for preprocessing
29,Male,M.Sc,6.0,Junior,SME,Tier-1,7.0,0.0,0,0.0,71711,43.0,2024-12-20,Built ML pipeline for preprocessing
25,Female,PhD,2.0,Lead,Enterprise,Tier-2,6.0,0.0,0,,131807,54.0,2023-12-31,None
25,Female,B.Sc,2.0,Mid,Startup,Tier-1,5.0,2.0,1,0.0,68810,65.0,2023-08-29,None
25,Male,,0.0,Senior,Enterprise,Remote,4.0,2.0,0,0.0,78770,54.0,2023-03-30,Experience in data cleaning and ETL
30,Female,B.Sc,7.0,Senior,SME,Tier-2,,2.0,1,6.0,118033,69.0,2024-11-25,Built ML pipeline for preprocessing
32,Female,B.Sc,13.0,Junior,SME,Tier-1,4.0,1.0,1,4.0,144791,50.0,2023-09-29,No relevant project mentioned
32,Female,B.Sc,10.0,Junior,SME,Tier-2,4.0,1.0,0,0.0,110738,44.0,2023-09-12,Built ML pipeline for preprocessing
35,Male,B.Sc,11.0,Junior,Startup,Tier-3,3.0,2.0,1,1.0,131527,44.0,2024-05-03,No relevant project mentioned
30,Male,B.Sc,9.0,Junior,SME,Tier-1,5.0,1.0,1,0.0,110159,45.0,2023-09-02,Contributed to open-source NLP repo
39,Male,B.Sc,18.0,Mid,Enterprise,Tier-2,3.0,4.0,1,0.0,211922,57.0,2023-04-09,No relevant project mentioned
28,Male,B.Sc+Cert,7.0,Mid,SME,Tier-2,3.0,,0,3.0,103459,52.0,2024-07-24,Built ML pipeline for preprocessing
46,Male,M.Eng,19.0,Mid,SME,Tier-3,,3.0,0,2.0,237357,58.0,2023-03-14,Built ML pipeline for preprocessing
34,Male,M.Sc,12.0,Junior,Startup,Tier-1,5.0,2.0,1,1.0,164659,49.0,2024-09-15,Contributed to open-source NLP repo
25,Male,B.Sc,1.0,Mid,Enterprise,Tier-2,5.0,0.0,0,0.0,59399,44.0,2024-11-07,Experience in data cleaning and ETL
24,Female,B.Sc,0.0,Mid,SME,Remote,4.0,3.0,0,1.0,52628,69.0,2023-10-15,No relevant project mentioned
33,Male,B.Sc,9.0,Mid,SME,Remote,4.0,0.0,1,1.0,130793,69.0,2023-07-30,Contributed to open-source NLP repo
29,Male,M.Sc,3.0,Junior,Startup,Tier-2,6.0,1.0,1,4.0,61474,56.0,2024-06-17,No relevant project mentioned
34,Female,B.Sc+Cert,10.0,Mid,Enterprise,Remote,10.0,1.0,0,7.0,168428,65.0,2023-03-24,No relevant project mentioned
33,Female,B.Sc,9.0,Junior,SME,Tier-2,,1.0,0,0.0,109725,49.0,2023-08-30,Built ML pipeline for preprocessing
30,Female,B.Sc,7.0,Mid,SME,Tier-2,1.0,0.0,1,1.0,99675,51.0,2023-01-12,Built ML pipeline for preprocessing
25,Other,B.Sc,4.0,Mid,SME,Tier-2,7.0,0.0,1,1.0,79968,60.0,2024-05-31,Contributed to open-source NLP repo
21,Male,B.Sc,0.0,Junior,Enterprise,Tier-1,,2.0,0,0.0,47723,72.0,2023-04-26,Worked on microservices deployment
27,Female,B.Sc,6.0,Mid,Startup,Tier-2,6.0,1.0,0,0.0,83185,36.0,2023-12-13,Contributed to open-source NLP repo
35,Male,M.Sc,10.0,Junior,Enterprise,Tier-2,4.0,1.0,1,5.0,124235,55.0,2023-01-20,No relevant project mentioned
31,Male,M.Sc,8.0,Junior,SME,Tier-3,7.0,2.0,0,4.0,106313,65.0,2024-12-01,Worked on microservices deployment
23,Male,B.Sc,0.0,Junior,SME,Tier-3,5.0,1.0,0,0.0,25973,44.0,2023-05-16,Worked on microservices deployment
31,Male,B.Sc,9.0,Senior,SME,Tier-2,2.0,0.0,0,1.0,109843,63.0,2024-03-21,Experience in data cleaning and ETL
32,Male,,10.0,Mid,Enterprise,Tier-1,1.0,0.0,0,1.0,162581,48.0,2024-03-13,None
25,Male,B.Sc,3.0,Lead,SME,Tier-1,,0.0,0,0.0,108533,55.0,2024-07-23,Built ML pipeline for preprocessing
31,Female,B.Sc,8.0,Mid,Enterprise,Tier-1,3.0,2.0,1,2.0,144248,60.0,2023-06-22,Contributed to open-source NLP repo
30,Male,B.Sc,4.0,Mid,Startup,Tier-2,6.0,2.0,0,2.0,77515,70.0,2024-12-05,Worked on microservices deployment
23,Male,B.Sc,0.0,Mid,Enterprise,Tier-1,2.0,1.0,1,1.0,61418,51.0,2024-05-31,Built ML pipeline for preprocessing
32,Female,B.Sc,13.0,Junior,Startup,Tier-2,4.0,1.0,1,5.0,155512,42.0,2023-06-08,No relevant project mentioned
33,Male,M.Eng,11.0,Junior,SME,Tier-1,8.0,1.0,1,2.0,151933,78.0,2024-02-09,Experience in data cleaning and ETL
36,Male,B.Sc,13.0,Junior,SME,Tier-3,,1.0,0,1.0,142070,59.0,2024-05-26,Built ML pipeline for preprocessing
36,Male,B.Sc,11.0,Mid,SME,Remote,3.0,1.0,1,1.0,115085,68.0,2024-10-13,None
22,Male,,,Junior,SME,Tier-2,3.0,2.0,1,0.0,41536,55.0,2023-01-04,No relevant project mentioned
